group_id,source_path,target_path,repo,reason,risk,coupling_class,imports_count,imported_by_count,external_importers_count,external_imports_count,runtime_critical,import_rewrite
G001-D,LeeWay-Edge-Integrated/rtc/src/vision/vision-monitor.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,1,0,0,1,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/vision/vision-scanner.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,1,2,0,1,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/vision/vision-storage.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,1,0,0,1,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/vision/VisualOverlayRenderer.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,1,1,0,1,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/voice/audio.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,0,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/voice/emotion-engine.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,1,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/voice/engine-controller.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,1,1,0,1,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/voice/engine-types.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,2,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/voice/persona.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,3,1,0,3,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/voice/poetry.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,2,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/voice/speech-queue.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,2,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/voice/types.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,0,2,0,0,true,true
G001-D,LeeWay-Edge-Integrated/rtc/src/voice/use-voice-engine.ts,LeeWay-Edge-RTC-main/src/transport,LeeWay-Edge-Integrated,rtc logic outside rtc repo,high,D,2,0,0,2,true,true
